Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5FkOlv0W1nBqs3mgbksZa4,"whatever it takes","whatever it takes","convolk;halberd;guardin;Jakkyboí;9tails",2018-08-04,217181,0,true,,1970-01-01T00:00:00Z,"emo rap,melodic rap,lo-fi,lo-fi beats,lo-fi hip hop","702622 Records DK",0.712,0.545,11,-6.804,1,0.0321,0.403,0,0.122,0.349,108.014,4
spotify:track:02hJVpYbchvHjtyXb8G7sG,"Me Myself & I","Me Myself & I","guardin",2019-06-30,211995,29,true,,1970-01-01T00:00:00Z,"emo rap","Acid Castle",0.603,0.779,5,-4.072,1,0.0873,0.0576,0.000604,0.107,0.323,154.099,4
spotify:track:0KKkJNfGyhkQ5aFogxQAPU,"That's What I Like","24K Magic","Bruno Mars",2016-11-18,206693,92,false,,1970-01-01T00:00:00Z,"","Atlantic Records",0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,4
spotify:track:5OrgpXdIARElnPli31GwRF,"One Little Favor","One Little Favor","Samsa",2017-05-09,184346,28,true,,1970-01-01T00:00:00Z,"","2020 Samsa, under exclusive license to An Atlanta Music Company, LLC",0.627,0.274,9,-11.679,0,0.369,0.877,0,0.37,0.596,134.649,4
spotify:track:20AjVjcuycZuivf5x3pCrL,"Come True","Come True","khai dreams;Forest",2018-09-20,203520,0,false,,1970-01-01T00:00:00Z,"","Khai Dreams",0.85,0.677,1,-5.575,0,0.251,0.503,0.00000412,0.0541,0.811,125.067,4
spotify:track:5uG8knPdu2H2uFHyfFDDWJ,"Snowflakes","Snowflakes","guardin",2018-12-28,205847,35,true,,1970-01-01T00:00:00Z,"emo rap","Acid Castle",0.255,0.858,1,-3.06,1,0.189,0.0151,0.00000204,0.171,0.641,129.044,3
spotify:track:0KrpwbDMFjLWedfW9Uaqjk,"in my sleep","in my sleep","guardin",2018-06-03,150870,35,false,,1970-01-01T00:00:00Z,"emo rap","Repost Network",0.694,0.595,6,-8.205,0,0.32,0.153,0,0.163,0.345,139.985,4
spotify:track:0C80GCp0mMuBzLf3EAXqxv,"Shoot to Thrill","Back In Black","AC/DC",1980-07-25,318231,78,false,,1970-01-01T00:00:00Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.457,0.904,2,-5.303,1,0.0747,0.000239,0.0879,0.396,0.48,141.038,4
spotify:track:3oDGKqZCCZFPMuPftEjlgN,"Sandals","Now and Then","khai dreams",2019-10-11,160445,0,false,,1970-01-01T00:00:00Z,"","Khai Dreams",0.703,0.703,4,-8.449,1,0.0377,0.111,0.0000201,0.236,0.972,112.005,4
spotify:track:20D6llRck15SJIY1g9y5lJ,"Last Chance","Last Chance","Shotgun Willy",2019-06-14,159040,49,true,,1970-01-01T00:00:00Z,"","Shotgun Willy",0.785,0.648,4,-8.816,0,0.173,0.174,0,0.245,0.236,114.912,4
spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,"Without Me","The Eminem Show","Eminem",2002-05-26,290320,90,true,,1970-01-01T00:00:00Z,"rap,hip hop","Eminem Catalog PS",0.908,0.669,7,-2.827,1,0.0738,0.00286,0,0.237,0.662,112.238,4
spotify:track:4EEjMyQub6tgFVshlM9j1M,"Margaritaville","Changes In Latitudes, Changes In Attitudes","Jimmy Buffett",1977-01-01,250933,72,false,,1970-01-01T00:00:00Z,"","Geffen*",0.801,0.545,2,-13.637,1,0.0357,0.709,0.00176,0.104,0.862,124.941,4
spotify:track:12rznBmp8xHknCAggl07Pn,"Into the Trees","Into the Trees","guardin",2017-06-28,174545,29,true,,1970-01-01T00:00:00Z,"emo rap","Acid Castle",0.468,0.796,1,-4.958,0,0.11,0.236,0.0000865,0.137,0.193,109.902,4
spotify:track:42YNobZ4HN3tRVEA47wLT6,"When I'm Gone","Curtain Call: The Hits (Deluxe Edition)","Eminem",2005-12-06,281133,56,true,,1970-01-01T00:00:00Z,"rap,hip hop","Eminem Catalog PS",0.619,0.746,10,-5.479,0,0.36,0.0537,0,0.295,0.757,149.944,4
spotify:track:3Plhh6DXBtxPF59hxZVwBO,"Sunday","Warm","Forrest.;Biskwiq",2018-07-01,154681,37,false,,1970-01-01T00:00:00Z,"","Houseboat",0.838,0.7,2,-5.235,1,0.382,0.149,0.00000186,0.239,0.798,84.018,4
spotify:track:6CN3e26iQSj1N5lomh0mfO,"Like Toy Soldiers","Encore (Deluxe Version)","Eminem",2004-11-12,296880,70,true,,1970-01-01T00:00:00Z,"rap,hip hop","Eminem Catalog PS",0.52,0.768,8,-3.489,0,0.359,0.0193,0.00034,0.104,0.398,79.178,4
spotify:track:4viUMIPk61pIvWUNDl0u4M,"Deuces Are Wild","Big Ones","Aerosmith",1994-01-01,215866,49,false,,1970-01-01T00:00:00Z,"classic rock,rock","Aerosmith P&D - Geffen",0.493,0.838,0,-4.509,1,0.0303,0.00668,0.0000318,0.104,0.426,74.956,4
spotify:track:1XPwuzOSFQECDxDjAfKiqB,"Inside","Inside","guardin",2019-05-21,128340,34,true,,1970-01-01T00:00:00Z,"emo rap","Acid Castle",0.64,0.199,4,-12.649,0,0.0521,0.846,0.586,0.115,0.236,121.87,4
spotify:track:7ha4aEKSxWXseeJHZ76vKt,"naked","outsider","guardin",2018-03-18,173778,19,false,,1970-01-01T00:00:00Z,"emo rap","Repost Network",0.384,0.653,2,-5.057,0,0.0505,0.166,0.0699,0.0995,0.0654,105.484,3
spotify:track:3q95Cl2nCLl3yODZcDUp9A,"Fireflies","Fireflies","khai dreams",2018-05-04,155000,0,false,,1970-01-01T00:00:00Z,"","Khai Dreams",0.809,0.415,10,-14.602,1,0.201,0.558,0.00222,0.361,0.376,96.014,4
spotify:track:0SQS6U9RfjA4Nph4JcMpU8,"alive","creature pt. 2","guardin",2020-01-10,205276,0,true,,1970-01-01T00:00:00Z,"emo rap","Photo Finish Records",0.217,0.89,6,-4.273,1,0.0617,0.0000344,0,0.13,0.111,143.979,5
spotify:track:7oiTOiLalvz8tpq6onO1wR,"Solitary","Solitary","guardin",2019-02-08,222543,0,true,,1970-01-01T00:00:00Z,"emo rap","Photo Finish Records",0.566,0.774,3,-4.665,1,0.0293,0.05,0,0.167,0.357,86.964,4
spotify:track:6PGqbqEuh9naY4DaZCfuFp,"FRIENDS","INNER CONFLICT","gravehours;guardin;abbot",2018-11-08,180735,0,true,,1970-01-01T00:00:00Z,"emo rap,hyperpop","gravehours",0.368,0.478,11,-10.984,0,0.0935,0.217,0,0.0731,0.148,135.936,4
spotify:track:0KEZphCQCLBFYH4AcSNnNL,"tired of being tired","i guess i'm over it","Savage Ga$p;guardin",2019-06-03,162468,16,true,,1970-01-01T00:00:00Z,"trap metal,emo rap","repost network",0.723,0.588,0,-7.085,1,0.118,0.484,0,0.137,0.807,89.971,4
spotify:track:0WPhiNff9SLNkzMYbVPXME,"creature","creature pt. 1","guardin",2019-09-20,180803,0,true,,1970-01-01T00:00:00Z,"emo rap","Photo Finish Records",0.517,0.786,8,-3.098,0,0.151,0.000391,0.00000102,0.265,0.273,161.892,4
spotify:track:6ZmI0Joq5BJB5jLAnNSmVO,"Do You Wonder","Summer Is Like a Dream","khai dreams",2017-08-26,147428,0,false,,1970-01-01T00:00:00Z,"","Khai Dreams",0.773,0.281,4,-12.527,1,0.0409,0.549,0.0249,0.105,0.339,140.06,4
spotify:track:1lV5uYr8H44mm7fD71zihB,"okay","okay","guardin",2018-10-29,213947,0,false,,1970-01-01T00:00:00Z,"emo rap","Acid Castle",0.742,0.152,0,-12.326,1,0.057,0.945,0,0.103,0.11,111.087,4
spotify:track:2Z61LPhr5iYgICmPvvE0Ds,"stolen","creature pt. 2","guardin",2020-01-10,132435,0,false,,1970-01-01T00:00:00Z,"emo rap","Photo Finish Records",0.623,0.2,10,-11.061,0,0.129,0.637,0.000769,0.115,0.366,173.927,4
spotify:track:7sgxxcpYukTLJZUXVfBV8S,"what i got","what i got","guardin;Huskai",2017-10-11,236225,34,true,,1970-01-01T00:00:00Z,"emo rap","Repost Network",0.455,0.496,1,-8.483,0,0.11,0.295,0,0.473,0.317,131.88,4
spotify:track:2pl3OicoLmMzWwSdtVAFuc,"pyramids","pyramids","guardin",2018-06-15,189718,19,false,,1970-01-01T00:00:00Z,"emo rap","Repost Network",0.211,0.691,2,-3.888,1,0.0455,0.00462,0.113,0.267,0.0472,145.669,4
spotify:track:1vrlTvQQpjqRt5froJo4iJ,"Sunscreen","Sunscreen","AL-X The Great;Engelwood",2018-05-04,123547,34,false,,1970-01-01T00:00:00Z,"lo-fi beats,jazz beats","AL-X The Great",0.435,0.492,4,-13.069,1,0.288,0.757,0,0.2,0.78,179.856,4
spotify:track:3UmaczJpikHgJFyBTAJVoz,"Stan","The Marshall Mathers LP","Eminem;Dido",2000-05-23,404106,82,true,,1970-01-01T00:00:00Z,"rap,hip hop","Eminem Catalog PS",0.78,0.768,6,-4.325,0,0.238,0.0371,0.00000234,0.518,0.507,80.063,4
spotify:track:3Un6htHeRdWcCOlRnz4aE1,"Date My Ex","Date My Ex","AL-X The Great",2018-01-01,221000,19,true,,1970-01-01T00:00:00Z,"","AL-X Recordings",0.934,0.413,9,-15.573,0,0.0745,0.923,0.000255,0.286,0.74,119.99,4
spotify:track:4F8X7mErB9YgoRSzcWY1cB,"Doormat","Doormat","guardin",2019-03-29,154497,39,false,,1970-01-01T00:00:00Z,"emo rap","Acid Castle",0.51,0.565,0,-6.338,1,0.092,0.242,0.0000205,0.111,0.312,129.953,3
spotify:track:19aYshJ803a6F4BXQSPrwR,"All I Need","Nice Colors","khai dreams;Atwood",2018-05-17,147966,0,true,,1970-01-01T00:00:00Z,"","Khai Dreams",0.76,0.559,11,-7.274,0,0.5,0.508,0,0.367,0.48,74.954,4
